id_municipio,SDG10_20_MINF_norm,SDG10_20_MINF_cor,SDG10_21_GRV_norm,SDG10_21_GRV_cor,SDG10_22_ADER_norm,SDG10_22_ADER_cor,SDG10_35_VLC_LGBT_norm,SDG10_35_VLC_LGBT_cor,SDG10_3_RZHOM_norm,SDG10_3_RZHOM_cor,SDG11_33_M_TRNS_norm,SDG11_33_M_TRNS_cor,SDG12_2_RSD_SLD_norm,SDG12_2_RSD_SLD_cor,SDG13_2_CO2_norm,SDG13_2_CO2_cor,SDG13_6_TRNS_SL_norm,SDG13_6_TRNS_SL_cor,SDG15_2_FLOR_norm,SDG15_2_FLOR_cor,SDG16_1_OB_HM_norm,SDG16_1_OB_HM_cor,SDG16_3_M_ARM_FG_norm,SDG16_3_M_ARM_FG_cor,SDG16_4_TX_HMC_norm,SDG16_4_TX_HMC_cor,SDG17_1_INVST_PB_norm,SDG17_1_INVST_PB_cor,SDG17_3_P_RC_TRB_norm,SDG17_3_P_RC_TRB_cor,SDG1_1_P_F_CU_norm,SDG1_1_P_F_CU_cor,SDG2_1_OBS_INF_norm,SDG2_1_OBS_INF_cor,SDG2_2_P_NV_BPN_norm,SDG2_2_P_NV_BPN_cor,SDG2_3_DSNT_INF_norm,SDG2_3_DSNT_INF_cor,SDG3_13_SCD_norm,SDG3_13_SCD_cor,SDG3_15_T_M_INF_norm,SDG3_15_T_M_INF_cor,SDG3_16_M_MAT_norm,SDG3_16_M_MAT_cor,SDG3_17_T_M_5A_norm,SDG3_17_T_M_5A_cor,SDG3_18_T_M_NT_norm,SDG3_18_T_M_NT_cor,SDG3_19_T_M_AIDS_norm,SDG3_19_T_M_AIDS_cor,SDG3_1_C_VCN_norm,SDG3_1_C_VCN_cor,SDG3_22_T_M_DC_norm,SDG3_22_T_M_DC_cor,SDG3_27_DSP_SAU_norm,SDG3_27_DSP_SAU_cor,SDG3_29_SF_norm,SDG3_29_SF_cor,SDG3_2_INC_DNG_norm,SDG3_2_INC_DNG_cor,SDG3_32_UBS_norm,SDG3_32_UBS_cor,SDG3_3_HPT_norm,SDG3_3_HPT_cor,SDG3_3_P_NV_7PN_norm,SDG3_3_P_NV_7PN_cor,SDG3_6_ID_MD_M_norm,SDG3_6_ID_MD_M_cor,SDG3_8_GRV_norm,SDG3_8_GRV_cor,SDG3_9_INC_TRB_norm,SDG3_9_INC_TRB_cor,SDG4_13_P_E_ACS_norm,SDG4_13_P_E_ACS_cor,SDG4_14B_P_E_AEE_norm,SDG4_14B_P_E_AEE_cor,SDG4_18_D_SUP_EI_norm,SDG4_18_D_SUP_EI_cor,SDG4_19_D_SUP_EF_norm,SDG4_19_D_SUP_EF_cor,SDG4_1_P_EF_INT_norm,SDG4_1_P_EF_INT_cor,SDG4_26_R_M_D_PE_norm,SDG4_26_R_M_D_PE_cor,SDG4_27_R_M_D_EF_norm,SDG4_27_R_M_D_EF_cor,SDG4_3_TDI_EF_RP_norm,SDG4_3_TDI_EF_RP_cor,SDG4_4_PCT_CRECHE_norm,SDG4_4_PCT_CRECHE_cor,SDG4_7_FR_E_4A17_AJ_norm,SDG4_7_FR_E_4A17_AJ_cor,SDG5_6_RND_GEN_norm,SDG5_6_RND_GEN_cor,SDG5_8_TX_FMNC_norm,SDG5_8_TX_FMNC_cor,SDG6_1_IN_DRSAI_norm,SDG6_1_IN_DRSAI_cor,SDG6_4_PRD_AG_norm,SDG6_4_PRD_AG_cor,SDG6_6_SERV_AG_norm,SDG6_6_SERV_AG_cor,SDG8_9_T_OCUP_FORM_norm,SDG8_9_T_OCUP_FORM_cor,SDG9_1_INFRA_norm,SDG9_1_INFRA_cor,SDG9_2_EMP_INT_norm,SDG9_2_EMP_INT_cor
4212205,0.3515,red,0.6668,red,0.4244,orange,0.0,red,0.2458,green,0.1288,yellow,0.1979,yellow,0.0607,orange,0.3295,red,0.0454,yellow,0.2117,red,0.2424,red,0.2686,orange,0.0882,red,0.1214,orange,0.8612,green,0.1609,orange,0.4114,yellow,0.2327,yellow,0.2657,yellow,0.4663,red,0.0769,orange,0.5153,red,0.2461,orange,0.0,green,0.4542,yellow,0.4388,orange,0.1697,red,0.8541,orange,0.0047,green,0.0841,red,0.0626,yellow,0.0638,green,0.3568,red,0.4237,orange,0.0858,yellow,0.219,red,0.1818,orange,0.7629,orange,0.8177,yellow,0.3614,red,0.1151,orange,0.0345,orange,0.2768,yellow,0.2195,red,0.7106,orange,0.4662,yellow,0.1871,yellow,0.043,yellow,0.5334,yellow,0.4431,orange,0.3014,orange,0.1897,yellow,0.2083,yellow
4212239,0.2225,orange,0.4732,red,0.5384,red,0.0,red,0.441,orange,0.0906,orange,0.1997,yellow,0.0904,red,0.2037,yellow,0.0355,yellow,0.0,green,0.0972,yellow,0.1886,orange,0.268,yellow,0.0585,red,0.6423,yellow,0.1165,yellow,0.638,red,0.1179,green,0.4483,red,0.7328,red,0.0,orange,0.8426,red,0.4997,red,0.1875,yellow,0.5885,green,0.5469,red,0.4405,green,1.0,green,0.093,orange,0.2085,yellow,0.1841,orange,0.211,yellow,0.6411,green,0.4353,orange,0.0514,yellow,0.276,orange,0.0352,red,0.5977,red,0.7289,orange,0.8913,red,0.1339,orange,0.0091,red,0.3755,yellow,0.4165,orange,0.9752,green,0.5135,yellow,0.4847,red,0.0115,red,0.6265,orange,0.3366,red,0.2304,orange,0.1498,orange,0.0126,red
4212254,0.1334,green,0.2719,green,0.2548,green,0.0,red,0.6048,red,0.0838,orange,0.3657,green,0.0167,green,0.0847,green,0.003,red,0.3426,red,0.3378,red,0.3516,red,0.2149,yellow,0.3157,green,0.932,green,1.0,red,0.3915,yellow,0.5484,red,0.3168,orange,0.495,red,0.0,orange,0.548,red,0.3974,red,0.3859,red,0.2646,red,0.1547,green,0.1527,red,0.8963,orange,0.014,yellow,0.0793,red,0.3076,red,0.5452,red,0.2865,red,0.2723,yellow,0.2962,red,0.4352,yellow,0.0843,red,0.827,yellow,0.9388,green,0.9112,orange,0.6442,green,0.2303,green,1.0,red,0.3314,orange,0.8582,orange,0.7282,green,0.1716,yellow,0.0088,red,0.5683,yellow,0.7361,yellow,0.1276,red,0.3897,green,0.1243,orange
4212270,0.2155,orange,0.3985,orange,0.2573,green,0.0,red,0.547,red,0.0594,red,0.1033,red,0.154,red,0.2118,orange,0.1702,green,0.2342,red,0.2616,red,0.3401,red,0.2727,yellow,0.0417,red,0.6562,yellow,0.7926,red,0.8022,red,0.5345,red,0.3414,orange,0.3779,orange,0.0,orange,0.606,red,0.2419,orange,0.1562,yellow,0.3778,orange,0.2384,green,0.4421,green,1.0,green,0.0264,orange,0.3375,green,0.1119,yellow,0.1263,green,0.2441,red,0.5731,red,0.0186,green,0.4336,yellow,0.4248,green,0.6886,orange,0.6804,red,0.7437,red,0.2458,green,0.0113,red,0.6734,red,0.3052,red,0.9488,yellow,0.5643,green,0.2042,yellow,0.1616,green,0.5658,yellow,0.3253,red,0.336,orange,0.0997,red,0.2542,yellow
4212304,0.4893,red,0.3267,yellow,0.7436,red,0.0,red,0.5256,red,0.2764,green,0.2715,green,0.0298,yellow,0.0085,green,0.1127,green,0.0,green,0.0,green,0.0,green,0.1821,orange,0.1699,yellow,0.7214,yellow,0.149,yellow,0.2296,green,0.2111,yellow,0.2352,yellow,0.1919,green,0.0,orange,0.2335,green,0.0832,green,0.0841,yellow,0.4787,yellow,0.3596,yellow,0.2434,orange,0.9019,orange,0.0625,orange,0.1195,red,0.0508,green,0.515,red,0.4523,orange,0.2961,yellow,0.2595,red,0.2293,red,0.2066,yellow,0.6541,red,0.7189,orange,0.8292,red,0.2736,green,0.0199,red,0.8431,red,0.2963,red,0.9224,yellow,0.328,red,0.2411,orange,0.008,red,0.6192,orange,0.6327,orange,0.3627,yellow,0.1455,orange,0.1592,yellow
4212403,0.2113,orange,0.4267,red,0.4594,orange,0.0,red,0.2843,green,0.1041,orange,0.1061,red,0.0509,yellow,0.2033,yellow,0.0504,green,0.0613,green,0.0,green,0.1168,yellow,0.6038,green,0.0416,red,0.3502,red,0.4742,red,0.5521,red,0.0429,green,0.4963,red,0.1862,green,0.0,orange,0.3189,yellow,0.0,green,0.0,green,0.0883,red,0.4981,red,0.2769,yellow,0.9939,orange,0.0043,green,0.4768,green,0.0491,green,0.6944,red,0.6833,green,0.1354,green,0.0919,yellow,0.1715,red,0.3008,green,0.7756,orange,0.7021,orange,0.9334,yellow,0.0194,red,0.194,green,0.4504,orange,0.3575,orange,0.9755,green,0.4448,yellow,0.3706,red,0.0316,yellow,0.3493,green,0.33,red,0.4953,yellow,0.198,yellow,0.4041,green
4212502,0.186,yellow,0.3053,yellow,0.305,green,0.0061,red,0.4347,orange,0.131,yellow,0.3035,green,0.0058,green,0.2433,orange,0.0014,red,0.228,red,0.1593,orange,0.2387,orange,0.1081,red,0.5454,green,0.6771,yellow,0.3037,red,0.3461,green,0.5279,red,0.2415,yellow,0.2203,green,0.1009,red,0.2188,green,0.1081,green,0.3117,orange,0.2112,red,0.4483,orange,0.1387,red,0.7188,red,0.3226,red,0.1584,orange,0.1328,orange,0.5085,red,0.3875,red,0.3298,orange,0.2882,red,0.3435,orange,0.0974,red,0.5482,red,0.6733,red,0.8233,red,0.1166,orange,0.0469,yellow,0.346,yellow,0.4814,yellow,0.905,yellow,0.427,orange,0.2328,yellow,0.007,red,0.5143,yellow,0.9327,green,0.3663,yellow,0.234,yellow,0.1096,orange
4212601,0.2348,red,0.5365,red,0.1385,green,0.0712,red,0.4074,yellow,0.0647,red,0.2557,yellow,0.088,orange,0.4294,red,0.0356,yellow,0.0,green,0.0,green,0.0,green,0.5558,green,0.0715,orange,0.0,red,0.079,green,0.7383,red,0.1012,green,0.0829,green,0.101,green,0.0,orange,0.1057,green,0.0,green,0.0,green,0.4667,yellow,0.5963,red,0.4722,green,1.0,green,0.1631,orange,0.1941,orange,0.2518,red,0.1636,green,1.0,green,0.0723,green,0.0,green,0.8843,green,0.1806,orange,0.9641,green,0.8412,yellow,0.9482,green,0.1587,yellow,0.0707,yellow,0.2292,green,1.0,green,0.9797,green,0.3278,red,0.2026,yellow,0.0406,yellow,0.4768,yellow,0.6573,orange,0.2964,orange,0.1536,orange,0.2059,yellow
4212650,0.1637,yellow,0.2684,green,0.2588,green,0.0,red,0.4797,orange,0.1289,yellow,0.1546,orange,0.0053,green,0.0553,green,0.0034,red,0.0,green,0.0,green,0.0,green,0.0391,red,0.1371,yellow,0.9767,green,0.3864,red,0.4832,orange,0.8593,red,0.1832,green,0.2963,yellow,0.0,orange,0.2919,green,0.0892,green,0.3157,orange,0.5936,green,0.3434,yellow,0.1069,red,0.8528,orange,0.0039,green,0.2369,yellow,0.1052,yellow,0.5537,red,0.5438,yellow,0.3088,yellow,0.0732,yellow,0.0988,red,0.1351,orange,0.417,red,0.5592,red,0.9252,yellow,0.0107,red,0.0083,red,0.5906,red,0.3941,orange,0.521,red,0.7062,green,0.1756,yellow,0.0091,red,0.6177,orange,0.2111,red,0.0,red,0.557,green,0.1151,orange
4212700,0.1708,yellow,0.4553,red,0.5919,red,0.0,red,0.594,red,0.0887,orange,0.0931,red,0.1062,red,0.7219,red,0.0553,green,0.0469,green,0.0,green,0.0399,green,0.0521,red,0.064,red,0.3724,red,0.4482,red,0.2236,green,0.5436,red,0.5277,red,0.2791,yellow,0.0,orange,0.4073,orange,0.0911,green,0.3023,orange,0.4972,yellow,0.5836,red,0.2543,yellow,1.0,green,0.0065,yellow,0.1708,orange,0.0438,green,0.0427,green,0.533,yellow,0.2443,green,0.1182,orange,0.089,red,0.3384,green,0.7934,yellow,0.6463,red,0.9068,orange,0.0225,red,0.2188,green,0.3689,yellow,0.4217,orange,0.92,yellow,0.5911,green,0.2514,orange,0.0376,yellow,0.7007,red,0.2926,red,0.2039,red,0.0571,red,0.1163,orange
